DISTRITO DE AVEIRO                    Concelho de ÁGUEDA
                          Freguesia                                                 Presidente                  Força política
Borralha                                                   JORGE DA SILVA MENDES                 PPD/PSD.MPT
Aguada de Cima                                             CARLOS MANUEL DOS SANTOS TAVARES      PPD/PSD.MPT
Fermentelos                                                CARLOS MIGUEL NOLASCO DE LEMOS        PPD/PSD.MPT
Macinhata do Vouga                                         HUGO MANUEL FONSECA DA SILVA          PPD/PSD.MPT
Valongo do Vouga                                           LUÍS FILIPE TONDELA FALCÃO            PPD/PSD.MPT
União das freguesias de Recardães e Espinhel               RICARDO ANTÓNIO MARTINS FERREIRA      PPD/PSD.MPT
União das freguesias de Travassô e Óis da Ribeira          SÉRGIO EDGAR DA COSTA NEVES           PPD/PSD.MPT
União das freguesias de Trofa, Segadães e Lamas do Vouga   LINO ANDRÉ PESSOA SANTOS              CDS-PP
União das freguesias do Préstimo e Macieira de Alcoba      NELSON OLIVEIRA SOARES                PPD/PSD.MPT
Agadão                                                     TIAGO FILIPE CARDOSO DUARTE           PPD/PSD.MPT
Aguada de Baixo                                            TIAGO JOSÉ GONÇALVES PEREIRA          PPD/PSD.MPT
Águeda                                                     NUNO GUSTAVO PIMENTA CARDOSO          PPD/PSD.MPT
Belazaima do Chão                                          CARLOS PEDRO ANTUNES DOS SANTOS       PPD/PSD.MPT
Castanheira do Vouga                                       VÍCTOR MANUEL ABRANTES DA SILVA       PPD/PSD.MPT
Barrô                                                      JOÃO MARQUES PITAU                    PPD/PSD.MPT

DISTRITO DE AVEIRO                   Concelho de ALBERGARIA-A-VELHA
                         Freguesia                                               Presidente                   Força política
Alquerubim                                               JORGE MIGUEL FERREIRA SOUSA          PPD/PSD.IL
Angeja                                                   HÉLDER ANTÓNIO DE ALMEIDA BRANDÃO    PPD/PSD.IL
Branca                                                   SANDRA MARGARIDA PEREIRA MARCELINO   CDS-PP
Ribeira de Fráguas                                       LILIANA LOURENÇO SILVA ARAÚJO        CDS-PP
Albergaria-a-Velha e Valmaior                            RUBEN ANDRÉ DE CARVALHO COELHO       PPD/PSD.IL
São João de Loure e Frossos                              ANA MARIA DE MELO BASTOS SILVA       CDS-PP

DISTRITO DE AVEIRO                   Concelho de ANADIA
                         Freguesia                                                Presidente                      Força política
União das freguesias de Arcos e Mogofores                  -                                       -
Vila Nova de Monsarros                                     DAVID MARTINS FERNANDES                 PPD/PSD.CDS-PP
